Video Time;Neutral;Happy;Sad;Angry;Surprised;Scared;Disgusted;Contempt;Valence;Arousal
02:45,3;0,6900207;0,04342369;0,2873509;0,01224397;0;0,000003316;0,002060877;0,5568935;-0,2439272;0,2474497
02:45,3;0,6781422;0,04210681;0,311169;0,01202129;0;0,000002721;0,002060866;0,5660815;-0,2690622;0,2482141
02:45,4;0,6637609;0,04053764;0,3390058;0,01106208;0;0,000002233;0,002023999;0,5590401;-0,2984682;0,2559912
02:45,5;0,6480877;0,03839211;0,3692932;0,009957507;0;0,000001832;0,001969076;0,5545356;-0,3309011;0,2559912
02:45,5;0,6340523;0,03611376;0,3947424;0,00921053;0;0,000001503;0,001891193;0,547234;-0,3586286;0,2557097
02:45,6;0,6245844;0,034286;0,4115462;0,008563269;0;0,000001234;0,001851002;0,5388452;-0,3772602;0,2554375
02:45,7;0,6137238;0,0323377;0,4281854;0,00745836;0;0,000001012;0,001804558;0,5408655;-0,3958477;0,2551744
02:45,7;0,6083716;0,03066891;0,4381613;0,006392338;0;0,000000831;0,001740077;0,5452433;-0,4074924;0,2551744
02:45,8;0,6066996;0,03001181;0,4415738;0,00590838;0;0,000000682;0,00170398;0,5383175;-0,411562;0,2660471
02:45,9;0,6063894;0,0288183;0,4443104;0,005467589;0;0,000000559;0,001641616;0,5430256;-0,4154921;0,2792127
02:45,9;0,6055077;0,02706551;0,449576;0,004598226;0;0,000000459;0,001574968;0,5420027;-0,4225105;0,2933231
02:46,0;0,6016014;0,02511164;0,458045;0,004111312;0;0,000000377;0,001546949;0,535014;-0,4329334;0,2948929
02:46,1;0,5945957;0,02320757;0,4676953;0,004898153;0;0,000000309;0,001523909;0,5206965;-0,4444877;0,2948929
02:46,1;0,5893121;0,02148591;0,4724196;0,005126521;0;0,000000254;0,001496404;0,5011589;-0,4509337;0,2938005
02:46,2;0,5885543;0,01993603;0,4687638;0,005496041;0;0,000000208;0,001487133;0,4683117;-0,4488277;0,2933702
02:46,3;0,592325;0,01843493;0,4576213;0,006140191;0;0,000000171;0,001474485;0,4431166;-0,4391864;0,2933702
02:46,3;0,6022638;0,01856402;0,4349191;0,006874866;0;0,00000014;0,001496664;0,4314317;-0,4163551;0,2933702
02:46,4;0,6150575;0,01974284;0,4067634;0,007580973;0;0,000000115;0,001506724;0,4062095;-0,3870205;0,2923431
02:46,5;0,6267822;0,02098827;0,3807752;0,008216674;0;0,000000094;0,001533804;0,386904;-0,3597869;0,2908564
02:46,5;0,6387072;0,02313503;0,3540948;0,008641152;0;0,000000077;0,001610925;0,3610921;-0,3309597;0,2894191
02:46,6;0,6407266;0,02395727;0,3455794;0,00842909;0;0,000000064;0,001567576;0,3389238;-0,3216222;0,2880293
02:46,6;0,6328027;0,02444901;0,3518679;0,007933218;0;0,000000052;0,001483243;0,3068678;-0,3274188;0,2866857
02:46,7;0,6250875;0,02433905;0,3577942;0,007303793;0;0,000000043;0,00138934;0,2657208;-0,3334551;0,2853866
02:46,8;0,6206431;0,02587016;0,3594066;0,006652654;0;0,000000035;0,001321373;0,2180508;-0,3335364;0,2836764
02:46,8;0,6202198;0,0278933;0,3559743;0,006098347;0;0,000000029;0,001268429;0,1789327;-0,328081;0,2813877
02:46,9;0,6212423;0,0290525;0,3498789;0,005509221;0;0,000000024;0,00120899;0,1476488;-0,3208264;0,2797393
02:47,0;0,6237231;0,03084509;0,3420256;0,004946225;0;0,000000019;0,00116073;0,1211607;-0,3111805;0,2786668
02:47,0;0,623438;0,03262212;0,3382253;0,004473058;0;0,000000016;0,001122264;0,09942457;-0,3056031;0,2776335
02:47,1;0,6268331;0,03502983;0,3304732;0,004057124;0;0,000000013;0,001097827;0,09991942;-0,2954434;0,2766345
02:47,2;0,6309854;0,0370574;0,3242704;0,003769413;0;0,000000011;0,001086762;0,09036617;-0,287213;0,2756686
02:47,2;0,6352915;0,03914829;0,3203692;0,003670458;0;0,000000009;0,001072296;0,08677937;-0,281221;0,2747348
02:47,3;0,6426198;0,04111283;0,3117148;0,003816251;0;0,000000007;0,001069295;0,08886656;-0,2706019;0,2738319
02:47,4;0,6497096;0,04305485;0,3023847;0,004096448;0;0,000000006;0,001069104;0,08772285;-0,2593299;0,2735514
02:47,4;0,6565285;0,04475167;0,2929018;0,004341317;0;0,000000005;0,001104154;0,105246;-0,2481502;0,2731352
02:47,5;0,6629096;0,04542815;0,2857009;0,00448238;0;0,000000004;0,001153908;0,1254204;-0,2402727;0,2731352
02:47,6;0,664431;0,04583533;0,2865776;0,004511289;0;0,000000003;0,001188909;0,1303531;-0,2407423;0,2846104
02:47,6;0,6603673;0,04556003;0,2969612;0,00449253;0;0,000000003;0,001220095;0,1306165;-0,2514012;0,2945124
02:47,7;0,658521;0,04530826;0,3024859;0,00452981;0;0,000000002;0,001263766;0,1322261;-0,2571777;0,2945124
02:47,8;0,651469;0,04435729;0,3153129;0,004354548;0;0,000000002;0,001282538;0,1248478;-0,2709556;0,2938922
02:47,8;0,636491;0,04210987;0,3415084;0,004038785;0;0,000000001;0,001287255;0,1172594;-0,2993985;0,2934078
02:47,9;0,6216817;0,03873375;0,367408;0,003609724;0;0,000000001;0,001292732;0,1157827;-0,3286743;0,2932442
02:48,0;0,6065575;0,03623971;0,3928349;0,003130448;0;0,000000001;0,001327489;0,09994745;-0,3565952;0,2925046
02:48,0;0,591656;0,03317682;0,4165941;0,002568849;0;0,000000001;0,001293339;0,08894383;-0,3834173;0,2919954
02:48,1;0,5802891;0,03102111;0,4349272;0,002108;0;0,000000001;0,001319503;0,08010045;-0,4039061;0,2914325
02:48,2;0,5686957;0,02933191;0,4521093;0,001729827;0;0,000000001;0,001348491;0,06573053;-0,4227774;0,29082
02:48,2;0,5568503;0,02718544;0,4700558;0,001419498;0;0;0,001349473;0,05393853;-0,4428703;0,2898318
02:48,3;0,5473999;0,0256423;0,4842747;0,001164841;0;0;0,001329216;0,04426201;-0,4586324;0,2888391
02:48,4;0,5378479;0,02449814;0,4970593;0,00095587;0;0;0,001299891;0,03632145;-0,4725612;0,2875116
02:48,4;0,5288353;0,02374391;0,5088914;0,000784388;0;0;0,001325812;0,02980542;-0,4851475;0,2847354
02:48,5;0,5226818;0,02291739;0,5167642;0,000643669;0;0;0,001348103;0,02445835;-0,4938468;0,2821566
02:48,6;0,5174667;0,0227104;0,5219805;0,000528196;0;0;0,001391284;0,02007055;-0,4992701;0,2794276
02:48,6;0,5130263;0,02268539;0,5266186;0,000433438;0;0;0,001438843;0,02913098;-0,5039332;0,2768991
02:48,7;0,5109615;0,02242206;0,5284191;0,00035568;0;0;0,001500165;0,05447124;-0,505997;0,2734058
02:48,8;0,5092772;0,02289427;0,5291816;0,000291871;0;0;0,001551957;0,07952268;-0,5062873;0,2702098
02:48,8;0,5071568;0,02439056;0,5293509;0,00023951;0;0;0,00164753;0,1117375;-0,5049603;0,2661363
02:48,9;0,508329;0,02640467;0,5230806;0,000196542;0;0;0,0017699;0,1458776;-0,4966759;0,2612921
02:49,0;0,510537;0,02789029;0,5139202;0,000161283;0;0;0,001888364;0,1732406;-0,4860299;0,255772
02:49,0;0,5103999;0,02925563;0,5090534;0,000132349;0;0;0,00201783;0,2037166;-0,4797978;0,2493322
02:49,1;0,5089385;0,03068697;0,5064626;0,000108605;0;0;0,002131189;0,2298096;-0,4757757;0,2424196
02:49,2;0,5150793;0,0325721;0,4941486;0,000089122;0;0;0,002266423;0,2736595;-0,4615765;0,2351628
02:49,2;0,5232771;0,03438266;0,4797933;0,000073133;0;0;0,002378268;0,3111513;-0,4454106;0,2280447
02:49,3;0,534705;0,03627205;0,4606903;0,000060013;0;0;0,002499614;0,3478504;-0,4244182;0,2210679
02:49,4;0,5500332;0,03803173;0,4359514;0,00030753;0;0;0,002606162;0,3789302;-0,3979197;0,2157243
02:49,4;0,5655611;0,03990649;0,4117032;0,000982665;0;0;0,00268178;0,4029013;-0,3717967;0,2110251
02:49,5;0,5837738;0,04131727;0,3841149;0,002040163;0;0;0,002778733;0,4126875;-0,3427976;0,2080612
02:49,6;0,6023085;0,04142309;0,3567282;0,002815546;0;0;0,002848974;0,4191556;-0,3153051;0,205505
02:49,6;0,6215093;0,04086341;0,3296985;0,003713119;0;0;0,002883101;0,4197479;-0,2888351;0,2044677
02:49,7;0,6398956;0,04105826;0,3028901;0,004750312;0;0;0,002953378;0,4243649;-0,2618318;0,2044677
02:49,8;0,6572766;0,04122765;0,2777111;0,006005563;0;0;0,003070276;0,4241537;-0,2364834;0,2214892
02:49,8;0,6752908;0,04070271;0,2532225;0,007202901;0;0;0,00316019;0,4243128;-0,2125198;0,2320354
02:49,9;0,6940629;0,03958624;0,2277416;0,008830444;0;0;0,003262749;0,4210349;-0,1881553;0,2385104
02:49,9;0,7122358;0,0382404;0,2034404;0,01086018;0;0;0,00333824;0,4187213;-0,1652;0,2551191
02:50,0;0,728721;0,03715662;0,1811934;0,01268844;0;0;0,003376502;0,423893;-0,1440368;0,2771778
02:50,1;0,7439978;0,03596546;0,1617854;0,01422615;0;0;0,003399833;0,4311655;-0,12582;0,2845294
02:50,1;0,7578692;0,03582966;0,1443576;0,01543725;0;0;0,003418343;0,4422606;-0,108528;0,2845294
02:50,2;0,7715663;0,03618811;0,1276265;0,01652956;0;0;0,003393481;0,4499103;-0,09143837;0,2845294
02:50,3;0,783731;0,0360864;0,114908;0,01741792;0;0;0,003397294;0,4624884;-0,07882155;0,2945986
02:50,3;0,7916371;0,03623017;0,1080875;0,01785165;0;0;0,003400888;0,4691746;-0,07185729;0,3063814
02:50,4;0,7962239;0,03778017;0,1051098;0,01801055;0;0;0,00341342;0,4698019;-0,06732962;0,3188191
